From	Entry	Entry.Name	Gene.Names
Q47ZT0	Q47ZT0	Q47ZT0_COLP3	CPS_2989
Q47ZT1	Q47ZT1	Q47ZT1_COLP3	CPS_2988
Q47ZT2	Q47ZT2	Q47ZT2_COLP3	CPS_2987
Q47ZT4	Q47ZT4	Q47ZT4_COLP3	CPS_2985
Q47ZT5	Q47ZT5	Q47ZT5_COLP3	CPS_2984
Q47XD5	Q47XD5	E4PD_COLP3	CPS_3873
Q47ZX4	Q47ZX4	Q47ZX4_COLP3	CPS_2945
Q47ZX5	Q47ZX5	Q47ZX5_COLP3	CPS_2944
Q47ZX6	Q47ZX6	Q47ZX6_COLP3	CPS_2943
Q47ZX7	Q47ZX7	Q47ZX7_COLP3	CPS_2942
Q47ZX8	Q47ZX8	Q47ZX8_COLP3	CPS_2941
Q47ZX9	Q47ZX9	Q47ZX9_COLP3	CPS_2940
Q47ZY0	Q47ZY0	Q47ZY0_COLP3	CPS_2939
Q47ZY3	Q47ZY3	Q47ZY3_COLP3	CPS_2936
Q47XG2	Q47XG2	GCSP2_COLP3	CPS_3846
Q47ZY4	Q47ZY4	Q47ZY4_COLP3	CPS_2935
Q480A7	Q480A7	Q480A7_COLP3	CPS_2911
Q480B5	Q480B5	Q480B5_COLP3	CPS_2903
Q480B7	Q480B7	Q480B7_COLP3	CPS_2901
Q480C1	Q480C1	Q480C1_COLP3	CPS_2897
Q47XG4	Q47XG4	GLYA3_COLP3	CPS_3844
Q480C2	Q480C2	Q480C2_COLP3	CPS_2896
Q480C5	Q480C5	Q480C5_COLP3	CPS_2893
Q480E5	Q480E5	Q480E5_COLP3	CPS_2869
Q480E6	Q480E6	Q480E6_COLP3	CPS_2868
Q480E7	Q480E7	Q480E7_COLP3	CPS_2867
Q47XH8	Q47XH8	SSRP_COLP3	CPS_3829
Q480F1	Q480F1	Q480F1_COLP3	CPS_2863
Q480G6	Q480G6	Q480G6_COLP3	CPS_2848
Q480G8	Q480G8	Q480G8_COLP3	CPS_2846
Q480H6	Q480H6	Q480H6_COLP3	CPS_2838
Q480H8	Q480H8	Q480H8_COLP3	CPS_2836
Q47XI3	Q47XI3	NADK_COLP3	CPS_3824
Q480I7	Q480I7	Q480I7_COLP3	CPS_2820
Q480J2	Q480J2	Q480J2_COLP3	CPS_2815
Q480J3	Q480J3	Q480J3_COLP3	CPS_2814
Q480J4	Q480J4	Q480J4_COLP3	CPS_2813
Q480J6	Q480J6	Q480J6_COLP3	CPS_2811
Q480J7	Q480J7	Q480J7_COLP3	CPS_2810
Q480J9	Q480J9	Q480J9_COLP3	CPS_2808
