From	Entry	Entry.Name	Gene.Names
Q47ZH6	Q47ZH6	Q47ZH6_COLP3	tpm CPS_3096
Q47ZI4	Q47ZI4	Q47ZI4_COLP3	CPS_3088
Q47ZI7	Q47ZI7	Q47ZI7_COLP3	CPS_3085
Q47ZL8	Q47ZL8	Q47ZL8_COLP3	CPS_3054
Q47ZL9	Q47ZL9	Q47ZL9_COLP3	CPS_3053
Q47ZM0	Q47ZM0	Q47ZM0_COLP3	acoA CPS_3052
Q47ZM1	Q47ZM1	Q47ZM1_COLP3	acoB CPS_3051
Q47ZQ9	Q47ZQ9	Q47ZQ9_COLP3	ppsA CPS_3011
Q47XD4	Q47XD4	PGK_COLP3	pgk CPS_3874
Q47ZT6	Q47ZT6	Q47ZT6_COLP3	CPS_2983
Q47ZT8	Q47ZT8	Q47ZT8_COLP3	CPS_2981
Q47ZT9	Q47ZT9	Q47ZT9_COLP3	CPS_2980
Q47ZU4	Q47ZU4	Q47ZU4_COLP3	CPS_2975
Q47ZX3	Q47ZX3	Q47ZX3_COLP3	CPS_2946
Q47ZY9	Q47ZY9	Q47ZY9_COLP3	folE folE3 CPS_2930
Q480B4	Q480B4	Q480B4_COLP3	CPS_2904
Q480I0	Q480I0	Q480I0_COLP3	CPS_2827
Q480I3	Q480I3	Q480I3_COLP3	CPS_2824
Q47U32	Q47U32	RL34_COLP3	rpmH CPS_5053
Q480I5	Q480I5	Q480I5_COLP3	prpB CPS_2822
Q480I6	Q480I6	Q480I6_COLP3	CPS_2821
Q480I8	Q480I8	Q480I8_COLP3	prpF CPS_2819
Q480I9	Q480I9	Q480I9_COLP3	CPS_2818
Q480K1	Q480K1	Q480K1_COLP3	CPS_2806
Q480K2	Q480K2	Q480K2_COLP3	CPS_2805
Q480K4	Q480K4	Q480K4_COLP3	CPS_2803
Q480L2	Q480L2	Q480L2_COLP3	CPS_2795
Q480L9	Q480L9	Q480L9_COLP3	CPS_2788
Q480M6	Q480M6	Q480M6_COLP3	CPS_2781
Q480R0	Q480R0	Q480R0_COLP3	CPS_2747
Q480T7	Q480T7	Q480T7_COLP3	CPS_2720
Q47XK1	Q47XK1	PDXB_COLP3	pdxB CPS_3806
Q480T8	Q480T8	Q480T8_COLP3	CPS_2719
Q480V1	Q480V1	Q480V1_COLP3	CPS_2706
Q480W2	Q480W2	Q480W2_COLP3	CPS_2693
Q480X8	Q480X8	Q480X8_COLP3	CPS_2677
Q480Y9	Q480Y9	Q480Y9_COLP3	CPS_2666
Q481A1	Q481A1	Q481A1_COLP3	CPS_2654
Q481A2	Q481A2	Q481A2_COLP3	CPS_2653
Q481A4	Q481A4	Q481A4_COLP3	CPS_2651
Q481A5	Q481A5	Q481A5_COLP3	CPS_2650
Q481B8	Q481B8	Q481B8_COLP3	CPS_2637
Q481C1	Q481C1	Q481C1_COLP3	CPS_2634
Q481C9	Q481C9	Q481C9_COLP3	CPS_2626
Q481D0	Q481D0	Q481D0_COLP3	phbB1 CPS_2625
Q481E5	Q481E5	Q481E5_COLP3	CPS_2610
Q47XL6	Q47XL6	FOLD2_COLP3	folD2 CPS_3791
Q481G4	Q481G4	Q481G4_COLP3	CPS_2590
Q481H0	Q481H0	Q481H0_COLP3	ansA CPS_2584
Q481H2	Q481H2	Q481H2_COLP3	minD CPS_2582
Q481I1	Q481I1	Q481I1_COLP3	CPS_2573
Q481K5	Q481K5	Q481K5_COLP3	CPS_2549
Q481K8	Q481K8	Q481K8_COLP3	CPS_2546
Q481L6	Q481L6	Q481L6_COLP3	CPS_2538
Q47U36	Q47U36	MNME_COLP3	mnmE trmE CPS_5049
Q481N6	Q481N6	Q481N6_COLP3	CPS_2517
Q481P0	Q481P0	Q481P0_COLP3	CPS_2513
Q481T0	Q481T0	Q481T0_COLP3	CPS_2473
Q481W1	Q481W1	Q481W1_COLP3	CPS_2441
Q481W8	Q481W8	Q481W8_COLP3	CPS_2434
Q47XN8	Q47XN8	PHS_COLP3	CPS_3765
Q481Y4	Q481Y4	Q481Y4_COLP3	CPS_2418
Q481Y5	Q481Y5	Q481Y5_COLP3	CPS_2417
Q481Y9	Q481Y9	Q481Y9_COLP3	CPS_2413
Q47XQ8	Q47XQ8	APT_COLP3	apt CPS_3745
Q482F7	Q482F7	Q482F7_COLP3	gnd CPS_2341
Q482F8	Q482F8	Q482F8_COLP3	gap1 CPS_2340
Q47XR0	Q47XR0	Y3743_COLP3	CPS_3743
Q482G9	Q482G9	Q482G9_COLP3	nrdA CPS_2328
Q482J8	Q482J8	Q482J8_COLP3	fabF CPS_2299
Q47XW2	Q47XW2	RECR_COLP3	recR CPS_3690
Q482L3	Q482L3	Q482L3_COLP3	eda CPS_2284
Q482L4	Q482L4	Q482L4_COLP3	edd CPS_2283
Q482L5	Q482L5	Q482L5_COLP3	pgl CPS_2282
Q482L7	Q482L7	Q482L7_COLP3	CPS_2280
Q482L8	Q482L8	Q482L8_COLP3	pyk CPS_2279
Q482L9	Q482L9	Q482L9_COLP3	CPS_2278
Q482M1	Q482M1	Q482M1_COLP3	CPS_2276
Q482N4	Q482N4	Q482N4_COLP3	CPS_2263
Q482N6	Q482N6	Q482N6_COLP3	CPS_2256
Q482N7	Q482N7	Q482N7_COLP3	dnaQ CPS_2255
Q47XX7	Q47XX7	PUR4_COLP3	purL CPS_3675
Q482P8	Q482P8	Q482P8_COLP3	CPS_2244
Q482Q5	Q482Q5	Q482Q5_COLP3	CPS_2237
Q482Q7	Q482Q7	Q482Q7_COLP3	CPS_2235
Q482R4	Q482R4	Q482R4_COLP3	CPS_2228
Q47XX8	Q47XX8	MLTF_COLP3	mltF CPS_3674
Q47Y12	Q47Y12	PSTB_COLP3	pstB CPS_3640
Q482U7	Q482U7	Q482U7_COLP3	rnfG CPS_2195
Q482V2	Q482V2	Q482V2_COLP3	CPS_2190
Q482V4	Q482V4	Q482V4_COLP3	CPS_2188
Q482V7	Q482V7	Q482V7_COLP3	CPS_2185
Q482X1	Q482X1	Q482X1_COLP3	CPS_2171
Q482Y4	Q482Y4	Q482Y4_COLP3	CPS_2158
Q47Y31	Q47Y31	TYSY_COLP3	thyA CPS_3621
Q482Z2	Q482Z2	Q482Z2_COLP3	ggt1 CPS_2150
Q482Z5	Q482Z5	Q482Z5_COLP3	galE CPS_2147
Q483A4	Q483A4	Q483A4_COLP3	CPS_2138
Q483A7	Q483A7	Q483A7_COLP3	CPS_2134
Q483A8	Q483A8	Q483A8_COLP3	CPS_2133
Q47Y68	Q47Y68	Y3584_COLP3	CPS_3584
Q483D9	Q483D9	Q483D9_COLP3	CPS_2101
Q483F0	Q483F0	Q483F0_COLP3	CPS_2090
Q483G3	Q483G3	Q483G3_COLP3	CPS_2077
Q47Y87	Q47Y87	PTH_COLP3	pth CPS_3559
Q483G5	Q483G5	Q483G5_COLP3	CPS_2075
Q483I1	Q483I1	Q483I1_COLP3	fdhA1 CPS_2058
Q483I5	Q483I5	Q483I5_COLP3	CPS_2054
Q483J6	Q483J6	Q483J6_COLP3	CPS_2042
Q483M3	Q483M3	Q483M3_COLP3	dctD CPS_2013
Q483M6	Q483M6	Q483M6_COLP3	CPS_2010
Q483M7	Q483M7	Q483M7_COLP3	CPS_2009
Q483M9	Q483M9	Q483M9_COLP3	CPS_2007
Q483N5	Q483N5	Q483N5_COLP3	CPS_2001
Q483P2	Q483P2	Q483P2_COLP3	ccoO CPS_1994
Q483P4	Q483P4	Q483P4_COLP3	ccoP CPS_1992
Q483P5	Q483P5	Q483P5_COLP3	CPS_1991
Q47Y94	Q47Y94	RF1_COLP3	prfA CPS_3552
Q483Q6	Q483Q6	Q483Q6_COLP3	CPS_1980
Q483Q9	Q483Q9	Q483Q9_COLP3	CPS_1977
Q483R2	Q483R2	Q483R2_COLP3	udk CPS_1974
Q483R4	Q483R4	Q483R4_COLP3	deoC CPS_1972
Q483R7	Q483R7	Q483R7_COLP3	cdd CPS_1969
Q483R8	Q483R8	Q483R8_COLP3	CPS_1968
Q47Y99	Q47Y99	KDSA_COLP3	kdsA CPS_3547
Q483S1	Q483S1	Q483S1_COLP3	CPS_1965
Q483S2	Q483S2	Q483S2_COLP3	CPS_1964
Q483S3	Q483S3	Q483S3_COLP3	CPS_1963
Q483T2	Q483T2	Q483T2_COLP3	trpB trpB1 CPS_1954
Q483T9	Q483T9	Q483T9_COLP3	CPS_1947
Q483U9	Q483U9	Q483U9_COLP3	CPS_1937
Q483V4	Q483V4	Q483V4_COLP3	CPS_1932
Q483V5	Q483V5	Q483V5_COLP3	CPS_1931
Q483X0	Q483X0	Q483X0_COLP3	CPS_1916
Q483Z8	Q483Z8	Q483Z8_COLP3	exaA CPS_1887
Q484A0	Q484A0	Q484A0_COLP3	CPS_1885
Q484B1	Q484B1	Q484B1_COLP3	CPS_1874
Q484B2	Q484B2	Q484B2_COLP3	hupB1 CPS_1873
Q484B3	Q484B3	Q484B3_COLP3	CPS_1872
Q484B4	Q484B4	Q484B4_COLP3	CPS_1871
Q484B5	Q484B5	Q484B5_COLP3	cphB CPS_1870
Q484B6	Q484B6	Q484B6_COLP3	iadA CPS_1869
Q47YB3	Q47YB3	QUEF_COLP3	queF CPS_3533
Q484E6	Q484E6	Q484E6_COLP3	CPS_1839
Q484E7	Q484E7	Q484E7_COLP3	CPS_1838
Q484I3	Q484I3	Q484I3_COLP3	CPS_1801
Q484I5	Q484I5	Q484I5_COLP3	CPS_1799
Q484I6	Q484I6	Q484I6_COLP3	CPS_1798
Q484I9	Q484I9	Q484I9_COLP3	CPS_1795
Q484J6	Q484J6	Q484J6_COLP3	CPS_1788
Q484K0	Q484K0	Q484K0_COLP3	pntB1 CPS_1784
Q484K1	Q484K1	Q484K1_COLP3	pntA CPS_1783
Q484L8	Q484L8	Q484L8_COLP3	CPS_1766
Q484M1	Q484M1	Q484M1_COLP3	CPS_1763
Q484M6	Q484M6	Q484M6_COLP3	CPS_1758
Q484M8	Q484M8	Q484M8_COLP3	CPS_1756
Q484N1	Q484N1	Q484N1_COLP3	CPS_1753
Q484N2	Q484N2	Q484N2_COLP3	hpt CPS_1752
Q484N6	Q484N6	Q484N6_COLP3	CPS_1748
Q484Q3	Q484Q3	Q484Q3_COLP3	CPS_1724
Q484Q4	Q484Q4	Q484Q4_COLP3	CPS_1723
Q484R0	Q484R0	Q484R0_COLP3	rsfS CPS_1717
Q484R4	Q484R4	Q484R4_COLP3	rlpA CPS_1713
Q484R6	Q484R6	Q484R6_COLP3	CPS_1711
Q484R9	Q484R9	Q484R9_COLP3	CPS_1708
Q484S2	Q484S2	Q484S2_COLP3	megL CPS_1705
Q484S4	Q484S4	Q484S4_COLP3	CPS_1703
Q484S8	Q484S8	Q484S8_COLP3	CPS_1699
Q484T0	Q484T0	Q484T0_COLP3	CPS_1697
Q484W1	Q484W1	Q484W1_COLP3	CPS_1666
Q484W9	Q484W9	Q484W9_COLP3	CPS_1658
Q484X0	Q484X0	Q484X0_COLP3	CPS_1657
